钝角三角形,ObtuseTriangle,394
等边三角形,RegularTriangle,395
直角三角形,RightTriangle,396
不等边三角形,ScaleneTriangle,397
三角形,Triangle,398
腰,Waist,399
终点,EndPoint,400
向量内积,InnerProduct,401
模,Mold,402
非零向量,NonZeroVector,403
法向量,NormalVector,404
平面向量,PlaneVector,405
投影,Projection,406
起点,StartPoint,407
单位向量,UnitVector,408
向量,Vector,409
零向量,ZeroVector,410
伯努利概型,BernoulliProfile,411
超几何分布,HypergeometricDistribution,412
泊松分布,PoissonDistribution,413
